Gene_ID	Gene_Name
ENSMUSG00000070305	Mpzl3
ENSMUSG00000049892	Rasd1
ENSMUSG00000032611	1700102P08Rik
ENSMUSG00000109336	Samd4b
ENSMUSG00000040113	Mettl11b
ENSMUSG00000042978	Sbk1
ENSMUSG00000022715	Tmem114
ENSMUSG00000003184	Irf3
ENSMUSG00000071341	Egr4
ENSMUSG00000029343	Crybb1
ENSMUSG00000034936	Arl4d
ENSMUSG00000035109	Shc4
ENSMUSG00000030087	Klf15
ENSMUSG00000072572	Slc39a2
ENSMUSG00000025353	Ormdl2
ENSMUSG00000054619	Mettl7a1
ENSMUSG00000021702	Thbs4
ENSMUSG00000004056	Akt2
ENSMUSG00000046667	Rbm12b1
ENSMUSG00000075602	Ly6a
ENSMUSG00000036565	Ttyh3
ENSMUSG00000030168	Adipor2
ENSMUSG00000024647	Cbln2
ENSMUSG00000066090	Insl5
ENSMUSG00000040287	Stac3
ENSMUSG00000034075	Zdhhc5
ENSMUSG00000002504	Slc9a3r2
ENSMUSG00000047246	H2bc6
ENSMUSG00000090470	Prr23a3
ENSMUSG00000022012	Enox1
ENSMUSG00000034209	Rasl10a
ENSMUSG00000028967	Errfi1
ENSMUSG00000020261	Slc36a1
ENSMUSG00000014361	Mertk
ENSMUSG00000052397	Ezr
ENSMUSG00000047466	8030462N17Rik
ENSMUSG00000039804	Ncoa5
ENSMUSG00000023886	Smoc2
ENSMUSG00000055805	Fmnl1
ENSMUSG00000020032	Nuak1
ENSMUSG00000035007	Rundc1
ENSMUSG00000043866	Taf10
ENSMUSG00000020108	Ddit4
ENSMUSG00000074170	Plekhf1
ENSMUSG00000032373	Car12
ENSMUSG00000048878	Hexim1
ENSMUSG00000028899	Taf12
ENSMUSG00000040490	Lrfn2
ENSMUSG00000036427	Gpi1
ENSMUSG00000027520	Zdbf2
ENSMUSG00000046546	Fam43a
ENSMUSG00000024136	Dnase1l2
ENSMUSG00000091971	Hspa1a
ENSMUSG00000020397	Med7
ENSMUSG00000024883	Rin1
ENSMUSG00000053475	Tnfaip6
ENSMUSG00000031609	Sap30
ENSMUSG00000026167	Wnt10a
ENSMUSG00000012296	Tjap1
ENSMUSG00000035595	Fam174c
ENSMUSG00000086118	Gm14169
ENSMUSG00000057101	Zfp180
ENSMUSG00000015829	Tnr
ENSMUSG00000039634	Zfp189
ENSMUSG00000015468	Notch4
ENSMUSG00000027333	Smox
ENSMUSG00000035704	Alg8
ENSMUSG00000021253	Tgfb3
ENSMUSG00000034265	Zdhhc14
ENSMUSG00000014470	Rnf166
ENSMUSG00000020288	Ahsa2
ENSMUSG00000020935	Dcakd
ENSMUSG00000027540	Ptpn1
ENSMUSG00000051703	Tmem198
ENSMUSG00000028645	Slc2a1
ENSMUSG00000023905	Tnfrsf12a
ENSMUSG00000006205	Htra1
ENSMUSG00000042229	Rabif
ENSMUSG00000017670	Elmo2
ENSMUSG00000018906	P4ha2
ENSMUSG00000020627	Klhl29
ENSMUSG00000038463	Olfml2b
ENSMUSG00000045314	Sowahb
ENSMUSG00000037010	Apln
ENSMUSG00000019772	Vip
ENSMUSG00000018102	H2bc4
ENSMUSG00000096847	Tmem151b
ENSMUSG00000000959	Oxa1l
ENSMUSG00000032297	Celf6
ENSMUSG00000022103	Gfra2
ENSMUSG00000023951	Vegfa
ENSMUSG00000071793	2610005L07Rik
ENSMUSG00000069763	Tmem100
ENSMUSG00000026333	Gin1
ENSMUSG00000035671	Zswim4
ENSMUSG00000031762	Mt2
ENSMUSG00000016239	Lonrf3
ENSMUSG00000050074	Spink8
ENSMUSG00000031879	Ciao2b
ENSMUSG00000019055	Plod1
ENSMUSG00000052229	Gpr17
ENSMUSG00000060257	Scrt2
ENSMUSG00000041959	S100a10
ENSMUSG00000006800	Sulf2
ENSMUSG00000035632	Cnot3
ENSMUSG00000021133	Susd6
ENSMUSG00000031538	Plat
ENSMUSG00000026785	Pkn3
ENSMUSG00000040822	1700123O20Rik
ENSMUSG00000027646	Src
ENSMUSG00000041130	Zfp598
ENSMUSG00000022639	Dubr
ENSMUSG00000031770	Herpud1
ENSMUSG00000047904	Sstr2
ENSMUSG00000021951	Eef1akmt1
ENSMUSG00000050248	Evc2
ENSMUSG00000028804	Csmd2
ENSMUSG00000048218	Amigo2
ENSMUSG00000044952	Kctd21
ENSMUSG00000024245	Tmem178
ENSMUSG00000020785	Camkk1
ENSMUSG00000010797	Wnt2
ENSMUSG00000035851	Ythdc1
ENSMUSG00000022099	Dmtn
ENSMUSG00000033760	Rbm4b
ENSMUSG00000022790	Igsf11
ENSMUSG00000015224	Cyp2j9
ENSMUSG00000048285	Frmd6
ENSMUSG00000029478	Ncor2
ENSMUSG00000006464	Bbs1
ENSMUSG00000061079	Zfp143
ENSMUSG00000033377	Palmd
ENSMUSG00000022018	Rgcc
ENSMUSG00000032058	Ppp2r1b
ENSMUSG00000050711	Scg2
ENSMUSG00000024966	Stip1
ENSMUSG00000042109	Csdc2
ENSMUSG00000001229	Dpp9
ENSMUSG00000029703	Lrwd1
ENSMUSG00000040599	Mis12
ENSMUSG00000024955	Esrra
ENSMUSG00000071757	Zhx2
ENSMUSG00000037239	Spred3
ENSMUSG00000014039	Prdm15
ENSMUSG00000048701	Ccdc6
ENSMUSG00000051256	Jagn1
ENSMUSG00000073139	Tmem185a
ENSMUSG00000031511	Arhgef7
ENSMUSG00000035237	Lcat
ENSMUSG00000043241	Upf2
ENSMUSG00000024097	Srsf7
ENSMUSG00000021037	Ahsa1
ENSMUSG00000022801	Lrch3
ENSMUSG00000021743	Fezf2
ENSMUSG00000024395	Lims2
ENSMUSG00000073676	Hspe1
ENSMUSG00000006958	Chrd
ENSMUSG00000044864	Ankrd50
ENSMUSG00000014856	Tmem208
ENSMUSG00000024487	Yipf5
ENSMUSG00000020674	Pxdn
ENSMUSG00000036968	Cnpy4
ENSMUSG00000033685	Ucp2
ENSMUSG00000086370	Ftx
ENSMUSG00000031536	Polb
ENSMUSG00000046562	Unc119b
ENSMUSG00000042202	Slc35e2
ENSMUSG00000045349	Sh2d5
ENSMUSG00000053550	Shisa7
ENSMUSG00000051403	Ppp1r37
ENSMUSG00000025277	Abhd6
ENSMUSG00000078851	H2aw
ENSMUSG00000034247	Plekhm1
ENSMUSG00000057963	Itpk1
ENSMUSG00000010911	Apip
ENSMUSG00000031168	Ebp
ENSMUSG00000001995	Sipa1l2
ENSMUSG00000031833	Mast3
ENSMUSG00000038145	Snrk
ENSMUSG00000051989	Smim11
ENSMUSG00000022556	Hsf1
ENSMUSG00000001240	Ramp2
ENSMUSG00000007777	0610009B22Rik
ENSMUSG00000039910	Cited2
ENSMUSG00000028876	Epha10
ENSMUSG00000028729	Ebna1bp2
ENSMUSG00000003299	Mrpl4
ENSMUSG00000019804	Snx3
ENSMUSG00000047613	A430005L14Rik
ENSMUSG00000018167	Stard3
ENSMUSG00000032519	Slc25a38
ENSMUSG00000078681	Tm2d3
ENSMUSG00000021680	Crhbp
ENSMUSG00000072872	Rybp
ENSMUSG00000020441	2310033P09Rik
ENSMUSG00000047044	D030056L22Rik
ENSMUSG00000029406	Pitpnm2
ENSMUSG00000050002	Idnk
ENSMUSG00000034880	Mrpl34
ENSMUSG00000057469	E2f6
ENSMUSG00000024168	Tmem204
ENSMUSG00000078670	Fam174b
ENSMUSG00000029436	Mmp17
ENSMUSG00000094626	Tmem121b
ENSMUSG00000031442	Mcf2l
ENSMUSG00000006736	Tspan31
ENSMUSG00000032290	Ptpn9
ENSMUSG00000054027	Nt5dc3
ENSMUSG00000029504	Ddx51
ENSMUSG00000039523	Cep104
ENSMUSG00000032470	Mras
ENSMUSG00000089832	Shkbp1
ENSMUSG00000032459	Mrps22
ENSMUSG00000030619	Eed
ENSMUSG00000031585	Gtf2e2
ENSMUSG00000031028	Tub
ENSMUSG00000038296	Galnt18
ENSMUSG00000031984	2810004N23Rik
ENSMUSG00000037935	Smarce1
ENSMUSG00000013646	Sh3bp5l
ENSMUSG00000054312	Mrps21
ENSMUSG00000003868	Ruvbl2
ENSMUSG00000023017	Asic1
ENSMUSG00000057060	Slc35f3
ENSMUSG00000017843	Ppp2r5c
ENSMUSG00000038957	Edc3
ENSMUSG00000027660	Skil
ENSMUSG00000026439	Rbbp5
ENSMUSG00000018509	Cenpv
ENSMUSG00000015476	Prrt1
ENSMUSG00000030615	Tmem126a
ENSMUSG00000036873	2410004B18Rik
ENSMUSG00000026821	Ralgds
ENSMUSG00000014226	Cacybp
ENSMUSG00000004268	Emg1
ENSMUSG00000031823	Zdhhc7
ENSMUSG00000028945	Rheb
ENSMUSG00000032026	Rexo2
ENSMUSG00000022964	Tmem50b
ENSMUSG00000039367	Sec24c
ENSMUSG00000031835	Mbtps1
ENSMUSG00000029617	Ccz1
ENSMUSG00000000751	Rpa1
ENSMUSG00000025410	Dctn2
ENSMUSG00000020457	Drg1
ENSMUSG00000031913	Vps4a
ENSMUSG00000019984	Med23
ENSMUSG00000001366	Fbxo9
ENSMUSG00000026709	Dars2
ENSMUSG00000007836	Hnrnpa0
ENSMUSG00000063065	Mapk3
ENSMUSG00000062963	Ufc1
ENSMUSG00000024474	Ik
ENSMUSG00000061118	Dnajc30
ENSMUSG00000039050	Osbpl2
ENSMUSG00000028351	Brinp1
ENSMUSG00000002803	Btbd6
ENSMUSG00000030083	Abtb1
ENSMUSG00000055932	Fto
ENSMUSG00000032127	Vps11
ENSMUSG00000035517	Tdrd7
ENSMUSG00000041528	Rnf123
ENSMUSG00000034285	Nipsnap1
ENSMUSG00000021377	Dek
ENSMUSG00000023923	Tbc1d5
ENSMUSG00000058886	Deaf1
ENSMUSG00000003934	Efnb3
ENSMUSG00000022339	Ebag9
ENSMUSG00000072966	Gprasp2
ENSMUSG00000029686	Cul1
ENSMUSG00000006675	P4htm
ENSMUSG00000056185	Snx32
ENSMUSG00000078570	1110065P20Rik
ENSMUSG00000054309	Cpsf3
ENSMUSG00000093904	Tomm20
ENSMUSG00000026879	Gsn
ENSMUSG00000018651	Tada2a
ENSMUSG00000042032	Mat2b
ENSMUSG00000059714	Flot1
ENSMUSG00000050052	Tdrp
ENSMUSG00000027509	Rae1
ENSMUSG00000074738	Fndc10
ENSMUSG00000000339	Rtca
ENSMUSG00000033543	Gtf2a2
ENSMUSG00000044252	Osbpl1a
ENSMUSG00000022217	Emc9
ENSMUSG00000037624	Kcnk2
ENSMUSG00000026664	Phyh
ENSMUSG00000021193	Pitrm1
ENSMUSG00000034525	Ice1
ENSMUSG00000003363	Pld3
ENSMUSG00000032527	Pccb
ENSMUSG00000035653	Lrfn5
ENSMUSG00000017764	Zswim1
ENSMUSG00000059013	Sh2d3c
ENSMUSG00000020669	Sh3yl1
ENSMUSG00000022305	Lrp12
ENSMUSG00000040794	C1qtnf4
ENSMUSG00000040616	Tmem51
ENSMUSG00000032839	Trpc1
ENSMUSG00000024644	Cndp2
ENSMUSG00000022827	Rabl3
ENSMUSG00000021458	Aopep
ENSMUSG00000049086	Bmyc
ENSMUSG00000027667	Zfp639
ENSMUSG00000019831	Wasf1
ENSMUSG00000039230	Tbcd
ENSMUSG00000032417	Rwdd2a
ENSMUSG00000028633	Ctps
ENSMUSG00000027978	Prss12
ENSMUSG00000008035	Mid1ip1
ENSMUSG00000045205	Dpy19l4
ENSMUSG00000020628	Trappc12
ENSMUSG00000026618	Iars2
ENSMUSG00000033096	Apmap
ENSMUSG00000031641	Cbr4
ENSMUSG00000020620	Abca8b
ENSMUSG00000024683	Mrpl16
ENSMUSG00000021629	Slc30a5
ENSMUSG00000037787	Apopt1
ENSMUSG00000031483	Erlin2
ENSMUSG00000021038	Vipas39
ENSMUSG00000022044	Stmn4
ENSMUSG00000053693	Mast1
ENSMUSG00000020650	Bcap29
ENSMUSG00000042055	Wdr11
ENSMUSG00000055633	Zfp580
ENSMUSG00000066735	Vkorc1l1
ENSMUSG00000027984	Hadh
ENSMUSG00000040037	Negr1
ENSMUSG00000013622	Atraid
ENSMUSG00000020840	Blmh
ENSMUSG00000020900	Myh10
ENSMUSG00000043885	Slc36a4
ENSMUSG00000018217	Pmp22
ENSMUSG00000049624	Slc17a5
ENSMUSG00000026277	Stk25
ENSMUSG00000038776	Ephx1
ENSMUSG00000026514	Cnih3
ENSMUSG00000025465	Echs1
ENSMUSG00000039166	Akap7
ENSMUSG00000018669	Cdk5rap3
ENSMUSG00000044071	Tafa2
ENSMUSG00000032498	Mlh1
ENSMUSG00000024493	Lars
ENSMUSG00000031328	Flna
ENSMUSG00000020156	Pwwp3a
ENSMUSG00000058444	Map2k5
ENSMUSG00000031104	Rab33a
ENSMUSG00000021820	Camk2g
ENSMUSG00000019927	Ube2d1
ENSMUSG00000028292	Rars2
ENSMUSG00000045594	Glb1
ENSMUSG00000096210	H1f0
ENSMUSG00000031349	Nsdhl
ENSMUSG00000031534	Smim19
ENSMUSG00000019338	Zfp687
ENSMUSG00000031292	Cdkl5
ENSMUSG00000037260	Hgsnat
ENSMUSG00000051736	Fam229b
ENSMUSG00000026765	Lypd6b
ENSMUSG00000056367	Actr3b
ENSMUSG00000002731	Prkra
ENSMUSG00000074211	Sdhaf1
ENSMUSG00000034310	Tmem132d
ENSMUSG00000047379	B4gat1
ENSMUSG00000064138	Fam172a
ENSMUSG00000031938	4931406C07Rik
ENSMUSG00000063049	Ing2
ENSMUSG00000056267	Cep70
ENSMUSG00000042272	Sestd1
ENSMUSG00000031618	Nr3c2
ENSMUSG00000000934	Top1mt
ENSMUSG00000031983	2310022B05Rik
ENSMUSG00000026342	Slc35f5
ENSMUSG00000042705	Commd10
ENSMUSG00000036188	Ankmy2
ENSMUSG00000043987	Cep164
ENSMUSG00000006522	Itih3
ENSMUSG00000019792	Trmt11
ENSMUSG00000057193	Slc44a2
ENSMUSG00000011306	Sugp1
ENSMUSG00000032482	Cspg5
ENSMUSG00000022490	Ppp1r1a
ENSMUSG00000075478	Slitrk1
ENSMUSG00000034544	Rsrc1
ENSMUSG00000028476	Reck
ENSMUSG00000032267	Usp28
ENSMUSG00000027296	Itpka
ENSMUSG00000097415	AU020206
ENSMUSG00000046603	Tcaim
ENSMUSG00000021665	Hexb
ENSMUSG00000032245	Cln6
ENSMUSG00000036362	P2ry13
ENSMUSG00000041650	Pcca
ENSMUSG00000038446	Cdc40
ENSMUSG00000085891	Gm14634
ENSMUSG00000024855	Pacs1
ENSMUSG00000069171	Nr2f1
ENSMUSG00000037376	Trmt6
ENSMUSG00000062619	2310039H08Rik
ENSMUSG00000020380	Rad50
ENSMUSG00000038593	Tctn1
ENSMUSG00000026227	2810459M11Rik
ENSMUSG00000044216	Kcnj4
ENSMUSG00000032403	2300009A05Rik
ENSMUSG00000022180	Slc7a8
ENSMUSG00000038020	Rapgefl1
ENSMUSG00000059852	Kcng2
ENSMUSG00000059277	R74862
ENSMUSG00000022112	Gpc5
ENSMUSG00000074637	Sox2
ENSMUSG00000046743	Fat4
ENSMUSG00000030226	Lmo3
ENSMUSG00000021012	Zc3h14
ENSMUSG00000040044	Orc3
ENSMUSG00000075334	Rprm
ENSMUSG00000026189	Pecr
ENSMUSG00000037224	Zfyve28
ENSMUSG00000028328	Tmod1
ENSMUSG00000031775	Pllp
ENSMUSG00000045211	Nudt18
ENSMUSG00000033166	Dis3
ENSMUSG00000027188	Pamr1
ENSMUSG00000025529	Zfp711
ENSMUSG00000025321	Itgb8
ENSMUSG00000029344	Tpst2
ENSMUSG00000076439	Mog
ENSMUSG00000030123	Plxnd1
ENSMUSG00000078201	Tmem203
ENSMUSG00000074749	Kiz
ENSMUSG00000050410	Tcf19
ENSMUSG00000036820	Amdhd2
ENSMUSG00000011148	Adssl1
ENSMUSG00000003134	Tbc1d8
ENSMUSG00000045087	S1pr5
ENSMUSG00000042073	Abhd14b
ENSMUSG00000033569	Adgrb3
ENSMUSG00000019478	Rab4a
ENSMUSG00000039831	Arhgap29
ENSMUSG00000040138	Ndp
ENSMUSG00000036885	Arhgef26
ENSMUSG00000036916	Zfp280c
ENSMUSG00000032565	Nudt16
ENSMUSG00000039765	Cc2d2a
ENSMUSG00000021368	Tbc1d7
ENSMUSG00000022489	Pde1b
ENSMUSG00000028329	Xpa
ENSMUSG00000038884	Shfl
ENSMUSG00000049612	Omg
ENSMUSG00000020374	Rasgef1c
ENSMUSG00000004698	Hdac9
ENSMUSG00000015247	Nipsnap3b
ENSMUSG00000022351	Sqle
ENSMUSG00000021619	Atg10
ENSMUSG00000051242	Pcdhb9
ENSMUSG00000021357	Exoc2
ENSMUSG00000062794	Zfp599
ENSMUSG00000097061	9330151L19Rik
ENSMUSG00000029513	Prkab1
ENSMUSG00000017754	Pltp
ENSMUSG00000038070	Cntln
ENSMUSG00000015027	Galns
ENSMUSG00000032763	Ilvbl
ENSMUSG00000031119	Gpc4
ENSMUSG00000037972	Snn
ENSMUSG00000042115	Klhdc8a
ENSMUSG00000051041	Olfml1
ENSMUSG00000027882	Stxbp3
ENSMUSG00000054021	Sirt5
ENSMUSG00000016494	Cd34
ENSMUSG00000022090	Pdlim2
ENSMUSG00000041362	Shtn1
ENSMUSG00000073680	Tmem88b
ENSMUSG00000024810	Il33
ENSMUSG00000042097	Zfp239
ENSMUSG00000041840	Haus1
ENSMUSG00000021537	Cetn3
ENSMUSG00000024588	Fech
ENSMUSG00000029171	Pgm2
ENSMUSG00000042834	Nrep
ENSMUSG00000020653	Klf11
ENSMUSG00000040174	Alkbh3
ENSMUSG00000029270	Dipk1a
ENSMUSG00000024352	Spata24
ENSMUSG00000006517	Mvd
ENSMUSG00000097462	9530026P05Rik
ENSMUSG00000047155	Cyp4x1
ENSMUSG00000028007	Snx7
ENSMUSG00000036770	Stpg3
ENSMUSG00000022061	Nkx3-1
ENSMUSG00000025551	Fgf14
ENSMUSG00000040811	Eml2
ENSMUSG00000025511	Tspan4
ENSMUSG00000028970	Abcb1b
ENSMUSG00000035413	Tmem98
ENSMUSG00000044982	Sft2d3
ENSMUSG00000059540	Tcea2
ENSMUSG00000086013	Gm15706
ENSMUSG00000042155	Klhl23
ENSMUSG00000021257	Angel1
ENSMUSG00000038982	Bloc1s5
ENSMUSG00000021007	Spata7
ENSMUSG00000039307	Hexdc
ENSMUSG00000021715	Cwc27
ENSMUSG00000027353	Mcm8
ENSMUSG00000029298	Gbp9
ENSMUSG00000079450	Cldn34c1
ENSMUSG00000056459	Zbtb25
ENSMUSG00000053552	Ebf4
ENSMUSG00000102101	Zbtb11os1
ENSMUSG00000038260	Trpm4
ENSMUSG00000038930	Rccd1
ENSMUSG00000002617	Zfp40
ENSMUSG00000039206	Daglb
ENSMUSG00000022404	Slc25a17
ENSMUSG00000019894	Slc6a15
ENSMUSG00000101856	1700096K18Rik
ENSMUSG00000091475	Cerox1
ENSMUSG00000027408	Cpxm1
ENSMUSG00000030309	Caprin2
ENSMUSG00000092492	B230208B08Rik
ENSMUSG00000020562	Efcab10
ENSMUSG00000085501	Gm11772
ENSMUSG00000034522	Zfp395
ENSMUSG00000048445	Ccdc57
ENSMUSG00000056481	Cd248
ENSMUSG00000082226	Gm715
ENSMUSG00000074862	BC025920
ENSMUSG00000020475	Pgam2
ENSMUSG00000019989	Enpp3
ENSMUSG00000036782	Klhl13
ENSMUSG00000006386	Tek
ENSMUSG00000032400	Zwilch
ENSMUSG00000108591	Particl
ENSMUSG00000048001	Hes5
ENSMUSG00000008129	4930432K21Rik
ENSMUSG00000024231	Cul2
ENSMUSG00000038550	Ciart
ENSMUSG00000040229	Gpr34
ENSMUSG00000097023	Mir9-3hg
ENSMUSG00000032010	Usp2
ENSMUSG00000066357	Wdr6
ENSMUSG00000032397	Tipin
ENSMUSG00000033191	Tie1
ENSMUSG00000045294	Insig1
ENSMUSG00000042857	Gm9776
ENSMUSG00000040410	Fbxl4
ENSMUSG00000100147	1700047M11Rik
ENSMUSG00000001751	Naglu
ENSMUSG00000042616	Oscp1
ENSMUSG00000039904	Gpr37
ENSMUSG00000097166	9330179D12Rik
ENSMUSG00000052566	Hook2
ENSMUSG00000085084	4930570G19Rik
ENSMUSG00000002059	Rab34
ENSMUSG00000053414	Hunk
ENSMUSG00000035509	Fbxl21
ENSMUSG00000035983	Gm7008
ENSMUSG00000040586	Ofd1
ENSMUSG00000086645	Gm15743
ENSMUSG00000029602	Rasal1
ENSMUSG00000039375	Wdr17
ENSMUSG00000059820	Nkapd1
ENSMUSG00000055485	Soga1
ENSMUSG00000044350	Lacc1
ENSMUSG00000032718	Mansc1
ENSMUSG00000023008	Fmnl3
ENSMUSG00000039133	9330171B17Rik
ENSMUSG00000035131	Brinp3
ENSMUSG00000018740	Slc25a35
ENSMUSG00000031027	Stk33
ENSMUSG00000069920	B3gnt9
ENSMUSG00000031907	Zfp90
ENSMUSG00000020604	Arsg
ENSMUSG00000085953	Gm15496
ENSMUSG00000001095	Slc13a2
ENSMUSG00000004996	Mri1
ENSMUSG00000030757	Zkscan2
ENSMUSG00000030237	Slco1a4
ENSMUSG00000034317	Trim59
ENSMUSG00000026880	Stom
ENSMUSG00000097574	C920006O11Rik
ENSMUSG00000044734	Serpinb1a
ENSMUSG00000020774	Aspa
ENSMUSG00000044229	Nxpe4
ENSMUSG00000066829	Zfp810
ENSMUSG00000030048	Gkn3
ENSMUSG00000033105	Lss
ENSMUSG00000100891	2810049E08Rik
ENSMUSG00000020912	Krt12
ENSMUSG00000064722	Gm25857
ENSMUSG00000084898	Gm12371
ENSMUSG00000047363	Cstad
ENSMUSG00000050211	Pla2g4e
ENSMUSG00000050121	Opalin
ENSMUSG00000059824	Dbp
ENSMUSG00000045193	Cirbp
